HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image1,Input.image2,Answer.selected,Approve,Reject
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301KG0KX9BK3V0HHTLLKCOAV0YSH2U,3TAMZSB5GP30Z1S0UTZOW8OHORQQXW,Art Images,choose the best piece of art,"Art image, best",$0.01,Sun Feb 24 14:16:38 PST 2019,3,BatchId:3543891;OriginalHitTemplateId:928390828;,7200,259200,Sun Mar 03 14:16:38 PST 2019,,,351SEKWQS0GED8E279QGPW4JOAHMD8,A2EBA8W33T6FWW,Submitted,Sun Feb 24 14:27:40 PST 2019,Sun Feb 24 14:53:13 PST 2019,Wed Feb 27 14:53:13 PST 2019,,,,1533,0% (0/0),0% (0/0),0% (0/0),https://s3.amazonaws.com/nets213-horse20.jpg,https://s3.amazonaws.com/nets213-horse22.jpg,image1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301KG0KX9BK3V0HHTLLKCOAV0YSH2U,3TAMZSB5GP30Z1S0UTZOW8OHORQQXW,Art Images,choose the best piece of art,"Art image, best",$0.01,Sun Feb 24 14:16:38 PST 2019,3,BatchId:3543891;OriginalHitTemplateId:928390828;,7200,259200,Sun Mar 03 14:16:38 PST 2019,,,3634BBTX0OTPF927D0NEL30NJECIFY,A2X7BE2FSPUKCK,Submitted,Sun Feb 24 14:25:17 PST 2019,Sun Feb 24 14:25:30 PST 2019,Wed Feb 27 14:25:30 PST 2019,,,,13,0% (0/0),0% (0/0),0% (0/0),https://s3.amazonaws.com/nets213-horse21.jpg,https://s3.amazonaws.com/nets213-horse22.jpg,image2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301KG0KX9BK3V0HHTLLKCOAV0YSH2U,3TAMZSB5GP30Z1S0UTZOW8OHORQQXW,Art Images,choose the best piece of art,"Art image, best",$0.01,Sun Feb 24 14:16:38 PST 2019,3,BatchId:3543891;OriginalHitTemplateId:928390828;,7200,259200,Sun Mar 03 14:16:38 PST 2019,,,3P4MQ7TPPXBPFKCL2O91GQ5P9Q0BB0,A2DI2R0FJDPQS,Submitted,Sun Feb 24 14:22:27 PST 2019,Sun Feb 24 14:22:51 PST 2019,Wed Feb 27 14:22:51 PST 2019,,,,24,0% (0/0),0% (0/0),0% (0/0),https://s3.amazonaws.com/nets213-horse20.jpg,https://s3.amazonaws.com/nets213-horse22.jpg,image2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302OLP89DY61JV15K80Y7FWDZUFACL,3TAMZSB5GP30Z1S0UTZOW8OHORQQXW,Art Images,choose the best piece of art,"Art image, best",$0.01,Sun Feb 24 14:16:47 PST 2019,3,BatchId:3543891;OriginalHitTemplateId:928390828;,7200,259200,Sun Mar 03 14:16:47 PST 2019,,,3FQ5JJ512LNS9W5CBRR36OO9D9PKNK,AAUXQDLH9Z1YS,Submitted,Sun Feb 24 14:32:11 PST 2019,Sun Feb 24 14:33:13 PST 2019,Wed Feb 27 14:33:13 PST 2019,,,,62,0% (0/0),0% (0/0),0% (0/0),https://s3.amazonaws.com/nets213-horse21.jpg,https://s3.amazonaws.com/nets213-horse22.jpg,image1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302OLP89DY61JV15K80Y7FWDZUFACL,3TAMZSB5GP30Z1S0UTZOW8OHORQQXW,Art Images,choose the best piece of art,"Art image, best",$0.01,Sun Feb 24 14:16:47 PST 2019,3,BatchId:3543891;OriginalHitTemplateId:928390828;,7200,259200,Sun Mar 03 14:16:47 PST 2019,,,3TVRFO09GKE85W1YYXQDJQSM4N4LX8,A2CR1GIBUQ88QM,Submitted,Sun Feb 24 14:30:53 PST 2019,Sun Feb 24 14:33:01 PST 2019,Wed Feb 27 14:33:01 PST 2019,,,,128,0% (0/0),0% (0/0),0% (0/0),https://s3.amazonaws.com/nets213-horse20.jpg,https://s3.amazonaws.com/nets213-horse21.jpg,image1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302OLP89DY61JV15K80Y7FWDZUFACL,3TAMZSB5GP30Z1S0UTZOW8OHORQQXW,Art Images,choose the best piece of art,"Art image, best",$0.01,Sun Feb 24 14:16:47 PST 2019,3,BatchId:3543891;OriginalHitTemplateId:928390828;,7200,259200,Sun Mar 03 14:16:47 PST 2019,,,3WETL7AQWT7IN9RZML3IVL7LB22533,A2TZL6CYAJHELW,Submitted,Sun Feb 24 14:25:58 PST 2019,Sun Feb 24 14:26:15 PST 2019,Wed Feb 27 14:26:15 PST 2019,,,,17,0% (0/0),0% (0/0),0% (0/0),https://s3.amazonaws.com/nets213-horse22.jpg,https://s3.amazonaws.com/nets213-horse21.jpg,image1,,